day,evaporation
1,11
2,9.857142857
3,9.714285714
4,7
5,6
6,9.857142857
7,10.28571429
8,9.428571429
9,10
10,10.71428571
11,10.28571429
12,10.28571429
13,10.42857143
14,9.714285714
15,9.857142857
16,6.571428571
17,9.857142857
18,11.14285714
19,10.71428571
20,9.428571429
21,7.571428571
22,5.714285714
23,6.714285714
24,6.714285714
25,7.142857143
26,7.857142857
27,9.714285714
28,9.714285714
29,8.571428571
30,7.428571429
31,9.285714286
32,9.428571429
33,8.857142857
34,8.428571429
35,5.142857143
36,7.428571429
37,9.428571429
38,9.285714286
39,7.428571429
40,8.142857143
41,9.142857143
42,9.142857143
43,10.28571429
44,11.42857143
45,10.28571429
46,8.428571429
47,9.428571429
48,8.857142857
49,8.571428571
50,8.142857143
51,7.571428571
52,6.428571429
53,6.285714286
54,2.285714286
55,3.857142857
56,4.857142857
57,5.714285714
58,5
59,2.571428571
60,4.142857143
61,7.714285714
62,8.285714286
63,8.142857143
64,6.142857143
65,8.285714286
66,7.285714286
67,7
68,7.571428571
69,6.714285714
70,8.285714286
71,8.428571429
72,8.142857143
73,8.285714286
74,7.857142857
75,7.714285714
76,7.857142857
77,7.857142857
78,7.571428571
79,6.571428571
80,6.428571429
81,7.571428571
82,4.571428571
83,4.857142857
84,2.428571429
85,3.142857143
86,3.857142857
87,6.857142857
88,7.571428571
89,8
90,6.571428571
91,5.428571429
92,2.857142857
93,3.142857143
94,4.714285714
95,5.428571429
96,4.571428571
97,4.714285714
98,7
99,7.285714286
100,6.857142857
101,6.285714286
102,4.142857143
103,4.142857143
104,3.571428571
105,6.142857143
106,5.571428571
107,5.571428571
108,5.857142857
109,6.142857143
110,6.142857143
111,6.285714286
112,6
113,6
114,6.714285714
115,5.857142857
116,5.285714286
117,5.857142857
118,6
119,6.285714286
120,6.285714286
121,6.428571429
122,
123,
124,
125,6
126,6.285714286
127,5.428571429
128,5.142857143
129,5.142857143
130,5.142857143
131,4.714285714
132,5.142857143
133,4.857142857
134,5.714285714
135,5.571428571
136,4.428571429
137,4.857142857
138,6
139,5.571428571
140,5.142857143
141,6.142857143
142,6.142857143
143,5.428571429
144,3.285714286
145,4.571428571
146,6
147,5.142857143
148,4.428571429
149,5.428571429
150,5.142857143
151,5.285714286
152,5
153,4.285714286
154,4.285714286
155,4.428571429
156,5
157,5
158,5.142857143
159,4.714285714
160,5
161,4.428571429
162,3.857142857
163,4.285714286
164,4
165,4.285714286
166,4.142857143
167,4.285714286
168,3.714285714
169,4.714285714
170,5
171,4.714285714
172,3.857142857
173,4.142857143
174,5
175,5
176,5
177,4.142857143
178,2.428571429
179,4.142857143
180,3.857142857
181,4.571428571
182,3.714285714
183,2.714285714
184,4.428571429
185,5.285714286
186,4.142857143
187,4.142857143
188,3
189,5.142857143
190,5.285714286
191,4.571428571
192,3.857142857
193,5.142857143
194,5.428571429
195,4.714285714
196,4.714285714
197,4.857142857
198,4
199,5.571428571
200,4.714285714
201,4.857142857
202,5.571428571
203,4.571428571
204,5
205,5.571428571
206,4.428571429
207,5
208,4.857142857
209,4.571428571
210,5.142857143
211,6
212,6.142857143
213,4.857142857
214,6
215,4.571428571
216,5
217,4.857142857
218,5.142857143
219,4
220,6.714285714
221,6.428571429
222,6
223,5.714285714
224,5.285714286
225,6.714285714
226,6.571428571
227,5.714285714
228,6
229,5.857142857
230,6.285714286
231,7.142857143
232,7.285714286
233,6.428571429
234,5.571428571
235,6.285714286
236,6
237,5.714285714
238,5.428571429
239,6.714285714
240,6.142857143
241,6.714285714
242,6.285714286
243,6.857142857
244,7
245,7.857142857
246,8
247,5.857142857
248,4.428571429
249,6.714285714
250,6.571428571
251,6.714285714
252,7.285714286
253,7.714285714
254,6.714285714
255,7
256,7.142857143
257,7.714285714
258,7.428571429
259,7.571428571
260,7.285714286
261,7
262,7.857142857
263,7.714285714
264,9.142857143
265,8.571428571
266,8.714285714
267,7.857142857
268,8
269,7.714285714
270,7.285714286
271,
272,
273,8.142857143
274,8.857142857
275,9.571428571
276,8.714285714
277,7.857142857
278,8
279,6.714285714
280,6.428571429
281,6.714285714
282,8.285714286
283,9
284,9.428571429
285,7.285714286
286,4
287,8
288,7.857142857
289,8.142857143
290,6.142857143
291,8.285714286
292,8.857142857
293,9.142857143
294,8.714285714
295,7.714285714
296,8.285714286
297,9.857142857
298,9.285714286
299,9.714285714
300,12.71428571
301,12
302,10.14285714
303,8.428571429
304,9.285714286
305,8.714285714
306,10.71428571
307,9
308,9.571428571
309,9.428571429
310,9
311,9.571428571
312,
313,8.142857143
314,8.285714286
315,10.14285714
316,10
317,10.71428571
318,10
319,9.285714286
320,
321,9.714285714
322,9.714285714
323,9.285714286
324,8
325,11
326,
327,
328,14.42857143
329,12.42857143
330,16.42857143
331,13.14285714
332,14.85714286
333,12.71428571
334,10.71428571
335,10.14285714
336,11
337,12.71428571
338,10.42857143
339,
340,
341,
342,3.714285714
343,2
344,3.428571429
345,7.285714286
346,
347,
348,8.857142857
349,3.571428571
350,2.428571429
351,6.714285714
352,9
353,8.571428571
354,8.285714286
355,8.857142857
356,7.571428571
357,7.142857143
358,8.857142857
359,7.428571429
360,7.571428571
361,9.142857143
362,8.857142857
363,6.571428571
364,8.142857143
365,8.857142857
